Model_Name,Label,Accuracy,Precision,Recall,F1-Score
convnextv2_tiny,Overall,0.796761155128479,0.796761155128479,0.796761155128479,0.796761155128479
convnextv2_tiny,GLOTW,0.7638484239578247,0.6479802131652832,0.7638484239578247,0.701159656047821
convnextv2_tiny,CR,0.8614864945411682,0.8225806355476379,0.8614864945411682,0.8415841460227966
convnextv2_tiny,IN,0.929240345954895,0.8824110627174377,0.929240345954895,0.9052204489707947
convnextv2_tiny,KU,0.145454540848732,0.380952388048172,0.145454540848732,0.21052631735801697
convnextv2_tiny,B,0.970588207244873,0.95652174949646,0.970588207244873,0.9635036587715149
convnextv2_tiny,S,0.8578431606292725,0.875,0.8578431606292725,0.8663366436958313
convnextv2_tiny,M,0.0,0.0,0.0,0.0
convnextv2_tiny,Y,0.45192307233810425,0.41228070855140686,0.45192307233810425,0.43119266629219055
convnextv2_tiny,F,0.7333333492279053,0.8438355922698975,0.7333333492279053,0.7847133874893188
convnextv2_tiny,E,0.27513226866722107,0.8221343755722046,0.27513226866722107,0.4122893810272217
convnextv2_tiny,P,0.9494290351867676,0.8231965899467468,0.9494290351867676,0.8818181753158569
convnextv2_tiny,-,0.8804627060890198,0.7061855792999268,0.8804627060890198,0.7837528586387634


Confusion Matrix (cols = preds, rows = golds)
     ,GLOTW,   CR,   IN,   KU,    B,    S,    M,    Y,    F,    E,    P,    -,    +
GLOTW,  786,  132,   19,    2,    1,   23,    0,   12,   35,    4,    2,   13, 1029
   CR,  105,  765,    5,    1,    0,    2,    0,    7,    1,    0,    0,    2,  888
   IN,   27,    7, 1786,    7,    0,    0,    0,   16,    3,   33,   40,    3, 1922
   KU,    5,    4,   19,    8,    0,    0,    0,   11,    3,    0,    2,    3,   55
    B,    2,    0,    0,    0,   66,    0,    0,    0,    0,    0,    0,    0,   68
    S,   20,    4,    0,    0,    2,  175,    0,    0,    3,    0,    0,    0,  204
    M,  146,   10,    2,    0,    0,    0,    0,    2,    2,    0,    0,    0,  162
    Y,   27,    3,   11,    3,    0,    0,    0,   47,    5,    0,    0,    8,  104
    F,   51,    3,    1,    0,    0,    0,    0,   13,  616,    1,    8,  147,  840
    E,   23,    0,  170,    0,    0,    0,    0,    3,   26,  208,  289,   37,  756
    P,    1,    0,   11,    0,    0,    0,    0,    0,    2,    7, 1746,   72, 1839
    -,   20,    2,    0,    0,    0,    0,    0,    3,   34,    0,   34,  685,  778
    +, 1213,  930, 2024,   21,   69,  200,    0,  114,  730,  253, 2121,  970, 8645


peak-vram-usage,GPU 0 (NVIDIA RTX A6000): 0.00MB peak; GPU 1 (NVIDIA RTX A6000): 3567.52MB peak; GPU 2 (NVIDIA RTX A6000): 0.00MB peak
training-time,4438.545171137899
validation-time,43.64735212922096


Epoch 1 loss,1.166666
Epoch 2 loss,0.864622
Epoch 3 loss,0.798007
Epoch 4 loss,0.756266
Epoch 5 loss,0.725055
Epoch 6 loss,0.703447
Epoch 7 loss,0.680862
Epoch 8 loss,0.670838
