Model_Name,Label,Accuracy,Precision,Recall,F1-Score
convnextv2_large,Overall,0.8109890222549438,0.8109890222549438,0.8109890222549438,0.8109890222549438
convnextv2_large,GLOTW,0.6909620761871338,0.7138554453849792,0.6909620761871338,0.7022222280502319
convnextv2_large,CR,0.8997747898101807,0.8279792666435242,0.8997747898101807,0.8623853325843811
convnextv2_large,IN,0.9339230060577393,0.9139510989189148,0.9339230060577393,0.9238291382789612
convnextv2_large,KU,0.09090909361839294,0.38461539149284363,0.09090909361839294,0.14705882966518402
convnextv2_large,B,1.0,0.9444444179534912,1.0,0.9714285731315613
convnextv2_large,S,0.8970588445663452,0.75,0.8970588445663452,0.8169642686843872
convnextv2_large,M,0.43209877610206604,0.5555555820465088,0.43209877610206604,0.4861111044883728
convnextv2_large,Y,0.36538460850715637,0.2753623127937317,0.36538460850715637,0.3140496015548706
convnextv2_large,F,0.7809523940086365,0.8367347121238708,0.7809523940086365,0.807881772518158
convnextv2_large,E,0.3968254029750824,0.7672634124755859,0.3968254029750824,0.5231037735939026
convnextv2_large,P,0.9271343350410461,0.8337408304214478,0.9271343350410461,0.8779608607292175
convnextv2_large,-,0.8753213286399841,0.750826895236969,0.8753213286399841,0.8083086013793945


Confusion Matrix (cols = preds, rows = golds)
     ,GLOTW,   CR,   IN,   KU,    B,    S,    M,    Y,    F,    E,    P,    -,    +
GLOTW,  711,  122,    4,    0,    0,   51,   47,   27,   36,   12,    0,   19, 1029
   CR,   76,  799,    0,    0,    0,    5,    0,    0,    6,    0,    0,    2,  888
   IN,    5,    7, 1795,    8,    0,    0,    0,   32,    1,   25,   46,    3, 1922
   KU,    7,    4,   18,    5,    0,    0,    0,   20,    1,    0,    0,    0,   55
    B,    0,    0,    0,    0,   68,    0,    0,    0,    0,    0,    0,    0,   68
    S,   13,    2,    0,    0,    4,  183,    0,    0,    2,    0,    0,    0,  204
    M,   73,   14,    0,    0,    0,    2,   70,    0,    0,    1,    0,    2,  162
    Y,   32,   12,    6,    0,    0,    0,    1,   38,    7,    4,    0,    4,  104
    F,   46,    2,    1,    0,    0,    0,    3,   12,  656,    5,    7,  108,  840
    E,   21,    1,  135,    0,    0,    0,    0,    8,   15,  300,  271,    5,  756
    P,    0,    1,    5,    0,    0,    0,    0,    0,    1,   44, 1705,   83, 1839
    -,   12,    1,    0,    0,    0,    3,    5,    1,   59,    0,   16,  681,  778
    +,  996,  965, 1964,   13,   72,  244,  126,  138,  784,  391, 2045,  907, 8645


peak-vram-usage,GPU 0 (NVIDIA RTX A6000): 0.00MB peak; GPU 1 (NVIDIA RTX A6000): 8107.05MB peak; GPU 2 (NVIDIA RTX A6000): 0.00MB peak
training-time,8879.357111843303
validation-time,72.8372868206352


Epoch 1 loss,1.207363
Epoch 2 loss,0.777010
Epoch 3 loss,0.684739
Epoch 4 loss,0.618802
Epoch 5 loss,0.568244
Epoch 6 loss,0.530674
Epoch 7 loss,0.499279
Epoch 8 loss,0.470876
