Model_Name,Label,Accuracy,Precision,Recall,F1-Score
convnextv2_tiny,Overall,0.8105263113975525,0.8105263113975525,0.8105263113975525,0.8105263113975525
convnextv2_tiny,GLOTW,0.6287658214569092,0.6912392973899841,0.6287658214569092,0.6585241556167603
convnextv2_tiny,CR,0.9504504799842834,0.774311900138855,0.9504504799842834,0.8533872365951538
convnextv2_tiny,IN,0.9354838728904724,0.891865074634552,0.9354838728904724,0.913153886795044
convnextv2_tiny,KU,0.09090909361839294,0.21739129722118378,0.09090909361839294,0.12820513546466827
convnextv2_tiny,B,1.0,0.9714285731315613,1.0,0.9855072498321533
convnextv2_tiny,S,0.9313725233078003,0.673758864402771,0.9313725233078003,0.7818930149078369
convnextv2_tiny,M,0.22839505970478058,0.5873016119003296,0.22839505970478058,0.3288888931274414
convnextv2_tiny,Y,0.20192307233810425,0.3499999940395355,0.20192307233810425,0.25609755516052246
convnextv2_tiny,F,0.7678571343421936,0.843137264251709,0.7678571343421936,0.8037382960319519
convnextv2_tiny,E,0.47354498505592346,0.7682403326034546,0.47354498505592346,0.5859246850013733
convnextv2_tiny,P,0.9271343350410461,0.8770576119422913,0.9271343350410461,0.9014009833335876
convnextv2_tiny,-,0.8856040835380554,0.7408602237701416,0.8856040835380554,0.8067915439605713


Confusion Matrix (cols = preds, rows = golds)
     ,GLOTW,   CR,   IN,   KU,    B,    S,    M,    Y,    F,    E,    P,    -,    +
GLOTW,  647,  192,   14,    2,    0,   78,   25,    9,   40,    7,    1,   14, 1029
   CR,   32,  844,    2,    0,    0,    4,    0,    1,    2,    1,    0,    2,  888
   IN,   16,    4, 1798,   14,    0,    0,    0,    8,    3,   48,   29,    2, 1922
   KU,    7,    4,   21,    5,    0,    0,    0,   12,    3,    2,    0,    1,   55
    B,    0,    0,    0,    0,   68,    0,    0,    0,    0,    0,    0,    0,   68
    S,    5,    7,    0,    0,    2,  190,    0,    0,    0,    0,    0,    0,  204
    M,   94,   18,    2,    0,    0,    6,   37,    3,    1,    0,    0,    1,  162
    Y,   45,    9,    6,    2,    0,    1,    0,   21,    4,    2,    1,   13,  104
    F,   58,   11,    1,    0,    0,    0,    0,    5,  645,    4,    6,  110,  840
    E,   16,    0,  158,    0,    0,    0,    0,    1,   22,  358,  176,   25,  756
    P,    2,    0,   14,    0,    0,    0,    0,    0,    1,   44, 1705,   73, 1839
    -,   14,    1,    0,    0,    0,    3,    1,    0,   44,    0,   26,  689,  778
    +,  936, 1090, 2016,   23,   70,  282,   63,   60,  765,  466, 1944,  930, 8645


peak-vram-usage,GPU 0 (NVIDIA RTX A6000): 3596.64MB peak; GPU 1 (NVIDIA RTX A6000): 0.00MB peak; GPU 2 (NVIDIA RTX A6000): 0.00MB peak
training-time,5358.283873107284
validation-time,55.55802372470498


Epoch 1 loss,1.283855
Epoch 2 loss,0.885467
Epoch 3 loss,0.795730
Epoch 4 loss,0.728548
Epoch 5 loss,0.682544
Epoch 6 loss,0.642662
Epoch 7 loss,0.613645
Epoch 8 loss,0.584931
