Model_Name,Label,Accuracy,Precision,Recall,F1-Score
convnextv2_tiny,Overall,0.7969924807548523,0.7969924807548523,0.7969924807548523,0.7969924807548523
convnextv2_tiny,GLOTW,0.5704567432403564,0.7355889678001404,0.5704567432403564,0.6425834894180298
convnextv2_tiny,CR,0.9560810923576355,0.75199294090271,0.9560810923576355,0.8418443202972412
convnextv2_tiny,IN,0.922476589679718,0.8790282607078552,0.922476589679718,0.9002285003662109
convnextv2_tiny,KU,0.036363635212183,0.6666666865348816,0.036363635212183,0.06896551698446274
convnextv2_tiny,B,1.0,0.9577465057373047,1.0,0.9784172773361206
convnextv2_tiny,S,0.8970588445663452,0.7065637111663818,0.8970588445663452,0.7904967665672302
convnextv2_tiny,M,0.5246913433074951,0.5782312750816345,0.5246913433074951,0.5501618385314941
convnextv2_tiny,Y,0.21153846383094788,0.36666667461395264,0.21153846383094788,0.26829269528388977
convnextv2_tiny,F,0.7714285850524902,0.8140703439712524,0.7714285850524902,0.7921760678291321
convnextv2_tiny,E,0.34391534328460693,0.7692307829856873,0.34391534328460693,0.47531992197036743
convnextv2_tiny,P,0.942359983921051,0.8339749574661255,0.942359983921051,0.8848608732223511
convnextv2_tiny,-,0.8740360140800476,0.7165437340736389,0.8740360140800476,0.7874927520751953


Confusion Matrix (cols = preds, rows = golds)
     ,GLOTW,   CR,   IN,   KU,    B,    S,    M,    Y,    F,    E,    P,    -,    +
GLOTW,  587,  229,   14,    0,    0,   68,   51,    8,   49,    7,    1,   15, 1029
   CR,   14,  849,    2,    0,    0,    2,    3,   10,    5,    0,    0,    3,  888
   IN,   27,    6, 1773,    1,    0,    0,    0,   10,    4,   43,   55,    3, 1922
   KU,    4,    5,   26,    2,    0,    0,    0,    8,    4,    0,    3,    3,   55
    B,    0,    0,    0,    0,   68,    0,    0,    0,    0,    0,    0,    0,   68
    S,   10,    8,    0,    0,    3,  183,    0,    0,    0,    0,    0,    0,  204
    M,   49,   15,    5,    0,    0,    4,   85,    0,    1,    1,    0,    2,  162
    Y,   32,   13,    9,    0,    0,    0,    1,   22,   12,    2,    0,   13,  104
    F,   39,    2,    1,    0,    0,    0,    4,    1,  648,    4,   13,  128,  840
    E,   22,    1,  176,    0,    0,    0,    0,    0,   32,  260,  235,   30,  756
    P,    1,    0,   11,    0,    0,    0,    0,    0,    1,   21, 1733,   72, 1839
    -,   13,    1,    0,    0,    0,    2,    3,    1,   40,    0,   38,  680,  778
    +,  798, 1129, 2017,    3,   71,  259,  147,   60,  796,  338, 2078,  949, 8645


peak-vram-usage,GPU 0 (NVIDIA RTX A6000): 0.00MB peak; GPU 1 (NVIDIA RTX A6000): 3566.77MB peak; GPU 2 (NVIDIA RTX A6000): 0.00MB peak
training-time,4497.850137837231
validation-time,50.94671924225986


Epoch 1 loss,0.967629
Epoch 2 loss,0.734883
Epoch 3 loss,0.675536
Epoch 4 loss,0.641471
Epoch 5 loss,0.622224
Epoch 6 loss,0.600665
Epoch 7 loss,0.591112
Epoch 8 loss,0.582948
