Model_Name,Label,Accuracy,Precision,Recall,F1-Score
convnextv2_tiny,Overall,0.8055523633956909,0.8055523633956909,0.8055523633956909,0.8055523633956909
convnextv2_tiny,GLOTW,0.6520894169807434,0.7215054035186768,0.6520894169807434,0.6850433945655823
convnextv2_tiny,CR,0.9436936974525452,0.7875939607620239,0.9436936974525452,0.8586065769195557
convnextv2_tiny,IN,0.930801272392273,0.8976417183876038,0.930801272392273,0.9139208197593689
convnextv2_tiny,KU,0.1090909093618393,0.3333333432674408,0.1090909093618393,0.16438356041908264
convnextv2_tiny,B,1.0,0.9577465057373047,1.0,0.9784172773361206
convnextv2_tiny,S,0.9019607901573181,0.71875,0.9019607901573181,0.800000011920929
convnextv2_tiny,M,0.4197530746459961,0.6666666865348816,0.4197530746459961,0.5151515007019043
convnextv2_tiny,Y,0.23076923191547394,0.39344263076782227,0.23076923191547394,0.290909081697464
convnextv2_tiny,F,0.7773809432983398,0.8371794819831848,0.7773809432983398,0.8061728477478027
convnextv2_tiny,E,0.30820104479789734,0.8233215808868408,0.30820104479789734,0.4485081732273102
convnextv2_tiny,P,0.9543229937553406,0.8098754286766052,0.9543229937553406,0.8761857151985168
convnextv2_tiny,-,0.8676092624664307,0.7336956262588501,0.8676092624664307,0.7950530052185059


Confusion Matrix (cols = preds, rows = golds)
     ,GLOTW,   CR,   IN,   KU,    B,    S,    M,    Y,    F,    E,    P,    -,    +
GLOTW,  671,  175,   13,    0,    0,   63,   29,    7,   44,    6,    1,   20, 1029
   CR,   33,  838,    3,    0,    0,    2,    0,    6,    3,    1,    0,    2,  888
   IN,   26,    5, 1789,    9,    0,    0,    0,    7,    1,   30,   52,    3, 1922
   KU,    4,    6,   24,    6,    0,    0,    0,    6,    2,    0,    3,    4,   55
    B,    0,    0,    0,    0,   68,    0,    0,    0,    0,    0,    0,    0,   68
    S,   12,    5,    0,    0,    3,  184,    0,    0,    0,    0,    0,    0,  204
    M,   65,   16,    1,    0,    0,    4,   68,    2,    4,    0,    0,    2,  162
    Y,   42,    9,    8,    1,    0,    1,    0,   24,    6,    1,    3,    9,  104
    F,   39,    7,    1,    2,    0,    0,    2,    8,  653,    1,   14,  113,  840
    E,   22,    1,  148,    0,    0,    0,    1,    0,   26,  233,  298,   27,  756
    P,    1,    0,    6,    0,    0,    0,    0,    0,    1,   11, 1755,   65, 1839
    -,   15,    2,    0,    0,    0,    2,    2,    1,   40,    0,   41,  675,  778
    +,  930, 1064, 1993,   18,   71,  256,  102,   61,  780,  283, 2167,  920, 8645


peak-vram-usage,GPU 0 (NVIDIA RTX A6000): 0.00MB peak; GPU 1 (NVIDIA RTX A6000): 0.00MB peak; GPU 2 (NVIDIA RTX A6000): 3567.02MB peak
training-time,5389.486961977556
validation-time,56.98140564374626


Epoch 1 loss,1.033140
Epoch 2 loss,0.777610
Epoch 3 loss,0.713249
Epoch 4 loss,0.678606
Epoch 5 loss,0.656706
Epoch 6 loss,0.633202
Epoch 7 loss,0.620997
Epoch 8 loss,0.609441
