Model_Name,Label,Accuracy,Precision,Recall,F1-Score
convnextv2_tiny,Overall,0.8183921575546265,0.8183921575546265,0.8183921575546265,0.8183921575546265
convnextv2_tiny,GLOTW,0.7035956978797913,0.7518172264099121,0.7035956978797913,0.7269076108932495
convnextv2_tiny,CR,0.8828828930854797,0.8132780194282532,0.8828828930854797,0.8466522693634033
convnextv2_tiny,IN,0.9531737565994263,0.8799231648445129,0.9531737565994263,0.9150848984718323
convnextv2_tiny,KU,0.072727270424366,0.6666666865348816,0.072727270424366,0.13114753365516663
convnextv2_tiny,B,1.0,0.9714285731315613,1.0,0.9855072498321533
convnextv2_tiny,S,0.9019607901573181,0.8105726838111877,0.9019607901573181,0.8538283109664917
convnextv2_tiny,M,0.42592594027519226,0.6634615659713745,0.42592594027519226,0.518796980381012
convnextv2_tiny,Y,0.36538460850715637,0.4749999940395355,0.36538460850715637,0.41304346919059753
convnextv2_tiny,F,0.8154761791229248,0.8253012299537659,0.8154761791229248,0.8203592896461487
convnextv2_tiny,E,0.32275131344795227,0.8531468510627747,0.32275131344795227,0.46833014488220215
convnextv2_tiny,P,0.9564980864524841,0.8312854170799255,0.9564980864524841,0.8895069360733032
convnextv2_tiny,-,0.8791773915290833,0.7459105849266052,0.8791773915290833,0.8070796728134155


Confusion Matrix (cols = preds, rows = golds)
     ,GLOTW,   CR,   IN,   KU,    B,    S,    M,    Y,    F,    E,    P,    -,    +
GLOTW,  724,  131,   21,    0,    0,   34,   28,    9,   50,   12,    1,   19, 1029
   CR,   80,  784,    4,    0,    0,    2,    2,    5,    9,    0,    0,    2,  888
   IN,   10,    4, 1832,    2,    0,    0,    0,   12,    2,   16,   38,    6, 1922
   KU,    5,    5,   27,    4,    0,    0,    0,    5,    3,    2,    2,    2,   55
    B,    0,    0,    0,    0,   68,    0,    0,    0,    0,    0,    0,    0,   68
    S,   13,    3,    0,    0,    2,  184,    0,    0,    2,    0,    0,    0,  204
    M,   65,   13,    2,    0,    0,    5,   69,    4,    1,    1,    0,    2,  162
    Y,   20,   17,    9,    0,    0,    0,    1,   38,    4,    1,    1,   13,  104
    F,   23,    4,    2,    0,    0,    0,    1,    4,  685,    1,    8,  112,  840
    E,   16,    1,  178,    0,    0,    0,    1,    1,   27,  244,  273,   15,  756
    P,    1,    0,    7,    0,    0,    0,    0,    0,    1,    9, 1759,   62, 1839
    -,    6,    2,    0,    0,    0,    2,    2,    2,   46,    0,   34,  684,  778
    +,  963,  964, 2082,    6,   70,  227,  104,   80,  830,  286, 2116,  917, 8645


peak-vram-usage,GPU 0 (NVIDIA RTX A6000): 0.00MB peak; GPU 1 (NVIDIA RTX A6000): 3566.52MB peak; GPU 2 (NVIDIA RTX A6000): 0.00MB peak
training-time,4405.410221114755
validation-time,46.601264867931604


Epoch 1 loss,0.875206
Epoch 2 loss,0.679437
Epoch 3 loss,0.637130
Epoch 4 loss,0.608146
Epoch 5 loss,0.585403
Epoch 6 loss,0.571662
Epoch 7 loss,0.562227
Epoch 8 loss,0.548821
