Model_Name,Label,Accuracy,Precision,Recall,F1-Score
convnextv2_large,Overall,0.8186234831809998,0.8186234831809998,0.8186234831809998,0.8186234831809998
convnextv2_large,GLOTW,0.704567551612854,0.7559958100318909,0.704567551612854,0.7293762564659119
convnextv2_large,CR,0.9222972989082336,0.8264379501342773,0.9222972989082336,0.8717402815818787
convnextv2_large,IN,0.9391258955001831,0.9024999737739563,0.9391258955001831,0.9204487800598145
convnextv2_large,KU,0.1818181872367859,0.4761904776096344,0.1818181872367859,0.2631579041481018
convnextv2_large,B,1.0,0.9855072498321533,1.0,0.9927007555961609
convnextv2_large,S,0.906862735748291,0.8008658289909363,0.906862735748291,0.8505747318267822
convnextv2_large,M,0.42592594027519226,0.6330274939537048,0.42592594027519226,0.509225070476532
convnextv2_large,Y,0.25,0.4333333373069763,0.25,0.31707316637039185
convnextv2_large,F,0.7821428775787354,0.8390804529190063,0.7821428775787354,0.8096118569374084
convnextv2_large,E,0.35185185074806213,0.7665706276893616,0.35185185074806213,0.4823209345340729
convnextv2_large,P,0.9494290351867676,0.8189493417739868,0.9494290351867676,0.8793754577636719
convnextv2_large,-,0.9010282754898071,0.7433722019195557,0.9010282754898071,0.8146426677703857


Confusion Matrix (cols = preds, rows = golds)
     ,GLOTW,   CR,   IN,   KU,    B,    S,    M,    Y,    F,    E,    P,    -,    +
GLOTW,  725,  125,   17,    0,    0,   38,   37,   15,   44,   13,    2,   13, 1029
   CR,   50,  819,    0,    0,    0,    4,    2,    0,   10,    0,    0,    3,  888
   IN,   15,    7, 1805,   10,    0,    0,    0,    8,    2,   33,   40,    2, 1922
   KU,    5,    6,   24,   10,    0,    0,    0,    6,    2,    0,    1,    1,   55
    B,    0,    0,    0,    0,   68,    0,    0,    0,    0,    0,    0,    0,   68
    S,   17,    1,    0,    0,    1,  185,    0,    0,    0,    0,    0,    0,  204
    M,   65,   15,    5,    0,    0,    2,   69,    0,    5,    0,    0,    1,  162
    Y,   35,    8,   16,    0,    0,    0,    0,   26,    7,    8,    0,    4,  104
    F,   25,    7,    1,    1,    0,    0,    0,    0,  657,    5,   14,  130,  840
    E,    9,    2,  128,    0,    0,    0,    0,    5,   23,  266,  301,   22,  756
    P,    0,    0,    4,    0,    0,    0,    0,    0,    2,   21, 1746,   66, 1839
    -,   13,    1,    0,    0,    0,    2,    1,    0,   31,    1,   28,  701,  778
    +,  959,  991, 2000,   21,   69,  231,  109,   60,  783,  347, 2132,  943, 8645


peak-vram-usage,GPU 0 (NVIDIA RTX A6000): 0.00MB peak; GPU 1 (NVIDIA RTX A6000): 0.00MB peak; GPU 2 (NVIDIA RTX A6000): 8074.56MB peak
training-time,8136.2855516038835
validation-time,73.43352171592414


Epoch 1 loss,0.859075
Epoch 2 loss,0.647627
Epoch 3 loss,0.589723
Epoch 4 loss,0.555949
Epoch 5 loss,0.530250
Epoch 6 loss,0.513161
Epoch 7 loss,0.500298
Epoch 8 loss,0.488866
