Model_Name,Label,Accuracy,Precision,Recall,F1-Score
convnextv2_large,Overall,0.8009253740310669,0.8009253740310669,0.8009253740310669,0.8009253740310669
convnextv2_large,GLOTW,0.7249757051467896,0.7166186571121216,0.7249757051467896,0.720772922039032
convnextv2_large,CR,0.8761261105537415,0.8215417265892029,0.8761261105537415,0.8479564189910889
convnextv2_large,IN,0.8881373405456543,0.9172487854957581,0.8881373405456543,0.9024583697319031
convnextv2_large,KU,0.072727270424366,0.3076923191547394,0.072727270424366,0.11764705926179886
convnextv2_large,B,1.0,0.9577465057373047,1.0,0.9784172773361206
convnextv2_large,S,0.9019607901573181,0.7931034564971924,0.9019607901573181,0.8440366983413696
convnextv2_large,M,0.29629629850387573,0.4615384638309479,0.29629629850387573,0.36090224981307983
convnextv2_large,Y,0.1538461595773697,0.25,0.1538461595773697,0.190476194024086
convnextv2_large,F,0.8023809790611267,0.828009843826294,0.8023809790611267,0.8149939775466919
convnextv2_large,E,0.341269850730896,0.7987616062164307,0.341269850730896,0.4782205820083618
convnextv2_large,P,0.9548667669296265,0.771868109703064,0.9548667669296265,0.8536704182624817
convnextv2_large,-,0.8804627060890198,0.7611111402511597,0.8804627060890198,0.8164481520652771


Confusion Matrix (cols = preds, rows = golds)
     ,GLOTW,   CR,   IN,   KU,    B,    S,    M,    Y,    F,    E,    P,    -,    +
GLOTW,  746,  123,    8,    2,    0,   39,   31,   11,   37,    8,    2,   22, 1029
   CR,   66,  778,    3,    0,    0,    5,    6,    3,   24,    0,    0,    3,  888
   IN,   13,    2, 1707,    6,    0,    0,    5,   13,    1,   31,  141,    3, 1922
   KU,   17,    5,   16,    4,    0,    0,    0,    9,    1,    1,    0,    2,   55
    B,    0,    0,    0,    0,   68,    0,    0,    0,    0,    0,    0,    0,   68
    S,   13,    3,    0,    0,    3,  184,    0,    0,    1,    0,    0,    0,  204
    M,   94,   16,    0,    0,    0,    1,   48,    0,    0,    0,    0,    3,  162
    Y,   29,   15,    8,    1,    0,    0,   11,   16,    6,   10,    2,    6,  104
    F,   30,    4,    1,    0,    0,    0,    1,   11,  674,    6,   12,  101,  840
    E,   23,    0,  114,    0,    0,    0,    0,    1,   15,  258,  336,    9,  756
    P,    1,    0,    4,    0,    0,    0,    0,    0,    3,    9, 1756,   66, 1839
    -,    9,    1,    0,    0,    0,    3,    2,    0,   52,    0,   26,  685,  778
    +, 1041,  947, 1861,   13,   71,  232,  104,   64,  814,  323, 2275,  900, 8645


peak-vram-usage,GPU 0 (NVIDIA RTX A6000): 0.00MB peak; GPU 1 (NVIDIA RTX A6000): 0.00MB peak; GPU 2 (NVIDIA RTX A6000): 8097.94MB peak
training-time,8220.29007022269
validation-time,73.3295656517148


Epoch 1 loss,0.643134
Epoch 2 loss,0.479573
Epoch 3 loss,0.416701
Epoch 4 loss,0.372623
Epoch 5 loss,0.342737
Epoch 6 loss,0.317529
Epoch 7 loss,0.299300
Epoch 8 loss,0.285776
