Model_Name,Label,Accuracy,Precision,Recall,F1-Score
convnextv2_large,Overall,0.7914401292800903,0.7914401292800903,0.7914401292800903,0.7914401292800903
convnextv2_large,GLOTW,0.6550048589706421,0.7342047691345215,0.6550048589706421,0.6923472285270691
convnextv2_large,CR,0.880630612373352,0.8336886763572693,0.880630612373352,0.85651695728302
convnextv2_large,IN,0.8683663010597229,0.9303233027458191,0.8683663010597229,0.8982776999473572
convnextv2_large,KU,0.23636363446712494,0.4642857015132904,0.23636363446712494,0.3132530152797699
convnextv2_large,B,1.0,0.9714285731315613,1.0,0.9855072498321533
convnextv2_large,S,0.9166666865348816,0.7510040402412415,0.9166666865348816,0.8256070613861084
convnextv2_large,M,0.48148149251937866,0.45086705684661865,0.48148149251937866,0.4656716287136078
convnextv2_large,Y,0.3076923191547394,0.4266666769981384,0.3076923191547394,0.35754188895225525
convnextv2_large,F,0.7928571701049805,0.8242574334144592,0.7928571701049805,0.8082524538040161
convnextv2_large,E,0.32275131344795227,0.7922077775001526,0.32275131344795227,0.45864662528038025
convnextv2_large,P,0.9548667669296265,0.7403035163879395,0.9548667669296265,0.8340061902999878
convnextv2_large,-,0.8650385737419128,0.7379385828971863,0.8650385737419128,0.7964497208595276


Confusion Matrix (cols = preds, rows = golds)
     ,GLOTW,   CR,   IN,   KU,    B,    S,    M,    Y,    F,    E,    P,    -,    +
GLOTW,  674,  116,    9,    1,    0,   54,   71,   13,   46,   12,    3,   30, 1029
   CR,   75,  782,    3,    0,    0,    2,    7,    7,    9,    0,    0,    3,  888
   IN,   15,    4, 1669,   12,    0,    0,    0,    5,    0,   29,  185,    3, 1922
   KU,    9,    7,   16,   13,    0,    0,    0,    4,    0,    4,    1,    1,   55
    B,    0,    0,    0,    0,   68,    0,    0,    0,    0,    0,    0,    0,   68
    S,    7,    3,    0,    0,    2,  187,    4,    0,    1,    0,    0,    0,  204
    M,   56,   14,    5,    0,    0,    2,   78,    0,    4,    0,    0,    3,  162
    Y,   29,    6,   10,    1,    0,    0,    4,   32,    8,    0,    3,   11,  104
    F,   22,    3,    1,    1,    0,    2,    5,   12,  666,    3,   14,  111,  840
    E,   15,    0,   77,    0,    0,    0,    0,    0,   22,  244,  380,   18,  756
    P,    1,    1,    4,    0,    0,    0,    1,    0,    2,   15, 1756,   59, 1839
    -,   15,    2,    0,    0,    0,    2,    3,    2,   50,    1,   30,  673,  778
    +,  918,  938, 1794,   28,   70,  249,  173,   75,  808,  308, 2372,  912, 8645


peak-vram-usage,GPU 0 (NVIDIA RTX A6000): 8073.80MB peak; GPU 1 (NVIDIA RTX A6000): 0.00MB peak; GPU 2 (NVIDIA RTX A6000): 0.00MB peak
training-time,8171.442111700773
validation-time,75.92039520293474


Epoch 1 loss,0.641440
Epoch 2 loss,0.497568
Epoch 3 loss,0.442517
Epoch 4 loss,0.401819
Epoch 5 loss,0.374514
Epoch 6 loss,0.352451
Epoch 7 loss,0.335457
Epoch 8 loss,0.319194
