Model_Name,Label,Accuracy,Precision,Recall,F1-Score
convnextv2_tiny,Overall,0.7804511189460754,0.7804511189460754,0.7804511189460754,0.7804511189460754
convnextv2_tiny,GLOTW,0.6161321401596069,0.7196367979049683,0.6161321401596069,0.6638743281364441
convnextv2_tiny,CR,0.8817567825317383,0.7893145084381104,0.8817567825317383,0.8329787254333496
convnextv2_tiny,IN,0.9172737002372742,0.8762425184249878,0.9172737002372742,0.8962887525558472
convnextv2_tiny,KU,0.05454545468091965,0.1666666716337204,0.05454545468091965,0.08219178020954132
convnextv2_tiny,B,1.0,1.0,1.0,1.0
convnextv2_tiny,S,0.9117646813392639,0.7322834730148315,0.9117646813392639,0.8122270703315735
convnextv2_tiny,M,0.37654322385787964,0.5700934529304504,0.37654322385787964,0.4535315930843353
convnextv2_tiny,Y,0.25,0.2680412232875824,0.25,0.2587064802646637
convnextv2_tiny,F,0.7809523940086365,0.7951515316963196,0.7809523940086365,0.787988007068634
convnextv2_tiny,E,0.21693122386932373,0.7130434513092041,0.21693122386932373,0.33265718817710876
convnextv2_tiny,P,0.961935818195343,0.7615152597427368,0.961935818195343,0.8500720858573914
convnextv2_tiny,-,0.8149100542068481,0.7565632462501526,0.8149100542068481,0.7846534848213196


Confusion Matrix (cols = preds, rows = golds)
     ,GLOTW,   CR,   IN,   KU,    B,    S,    M,    Y,    F,    E,    P,    -,    +
GLOTW,  634,  144,   20,    2,    0,   59,   35,   22,   49,   31,    2,   31, 1029
   CR,   72,  783,    0,    0,    0,    5,    3,   14,    7,    0,    2,    2,  888
   IN,    9,    8, 1763,   10,    0,    0,    0,   11,    5,   16,   98,    2, 1922
   KU,    4,    9,   21,    3,    0,    0,    0,    3,    4,    2,    6,    3,   55
    B,    0,    0,    0,    0,   68,    0,    0,    0,    0,    0,    0,    0,   68
    S,   12,    3,    0,    0,    0,  186,    0,    0,    3,    0,    0,    0,  204
    M,   71,   14,    2,    0,    0,    2,   61,    4,    4,    1,    0,    3,  162
    Y,   22,   20,   10,    2,    0,    0,    0,   26,    7,    5,    3,    9,  104
    F,   27,    4,    4,    0,    0,    0,    5,   13,  656,    4,   23,  104,  840
    E,   20,    2,  178,    0,    0,    0,    0,    0,   36,  164,  352,    4,  756
    P,    1,    0,   14,    0,    0,    0,    1,    0,    1,    7, 1769,   46, 1839
    -,    9,    5,    0,    1,    0,    2,    2,    4,   53,    0,   68,  634,  778
    +,  881,  992, 2012,   18,   68,  254,  107,   97,  825,  230, 2323,  838, 8645


peak-vram-usage,GPU 0 (NVIDIA RTX A6000): 3564.63MB peak; GPU 1 (NVIDIA RTX A6000): 0.00MB peak; GPU 2 (NVIDIA RTX A6000): 0.00MB peak
training-time,5716.222934113815
validation-time,51.70563668385148


Epoch 1 loss,0.732293
Epoch 2 loss,0.592179
Epoch 3 loss,0.566796
Epoch 4 loss,0.552653
Epoch 5 loss,0.544246
Epoch 6 loss,0.537529
Epoch 7 loss,0.533468
Epoch 8 loss,0.530826
