Model_Name,Label,Accuracy,Precision,Recall,F1-Score
convnextv2_large,Overall,0.7946789860725403,0.7946789860725403,0.7946789860725403,0.7946789860725403
convnextv2_large,GLOTW,0.6666666865348816,0.7497267723083496,0.6666666865348816,0.7057613134384155
convnextv2_large,CR,0.9009009003639221,0.8333333134651184,0.9009009003639221,0.8658008575439453
convnextv2_large,IN,0.8964620232582092,0.8978634476661682,0.8964620232582092,0.8971621990203857
convnextv2_large,KU,0.1818181872367859,0.7142857313156128,0.1818181872367859,0.28985506296157837
convnextv2_large,B,1.0,0.9577465057373047,1.0,0.9784172773361206
convnextv2_large,S,0.9117646813392639,0.738095223903656,0.9117646813392639,0.8157894611358643
convnextv2_large,M,0.43209877610206604,0.6194690465927124,0.43209877610206604,0.5090909004211426
convnextv2_large,Y,0.45192307233810425,0.3309859037399292,0.45192307233810425,0.38211381435394287
convnextv2_large,F,0.7630952596664429,0.818646252155304,0.7630952596664429,0.789895236492157
convnextv2_large,E,0.32671958208084106,0.7841269969940186,0.32671958208084106,0.4612511694431305
convnextv2_large,P,0.9439913034439087,0.7802247405052185,0.9439913034439087,0.8543307185173035
convnextv2_large,-,0.843187689781189,0.7008547186851501,0.843187689781189,0.7654609084129333


Confusion Matrix (cols = preds, rows = golds)
     ,GLOTW,   CR,   IN,   KU,    B,    S,    M,    Y,    F,    E,    P,    -,    +
GLOTW,  686,  112,    9,    0,    0,   59,   32,   40,   37,    9,    6,   39, 1029
   CR,   65,  800,    0,    0,    0,    3,    4,    6,    5,    0,    0,    5,  888
   IN,   16,    8, 1723,    3,    0,    0,    0,   18,    0,   29,  121,    4, 1922
   KU,    5,    4,   24,   10,    0,    0,    0,    3,    0,    4,    1,    4,   55
    B,    0,    0,    0,    0,   68,    0,    0,    0,    0,    0,    0,    0,   68
    S,    4,    3,    0,    0,    2,  186,    5,    0,    4,    0,    0,    0,  204
    M,   61,   17,    3,    0,    0,    2,   70,    2,    3,    0,    2,    2,  162
    Y,   19,    2,    9,    1,    0,    0,    0,   47,    8,    3,    3,   12,  104
    F,   28,    8,    2,    0,    0,    0,    0,   24,  641,    3,   12,  122,  840
    E,   19,    1,  134,    0,    0,    0,    0,    2,   22,  247,  307,   24,  756
    P,    0,    0,   15,    0,    0,    0,    0,    0,    1,   19, 1736,   68, 1839
    -,   12,    5,    0,    0,    1,    2,    2,    0,   62,    1,   37,  656,  778
    +,  915,  960, 1919,   14,   71,  252,  113,  142,  783,  315, 2225,  936, 8645


peak-vram-usage,GPU 0 (NVIDIA RTX A6000): 0.00MB peak; GPU 1 (NVIDIA RTX A6000): 0.00MB peak; GPU 2 (NVIDIA RTX A6000): 8078.83MB peak
training-time,8255.177802883089
validation-time,73.13122510164976


Epoch 1 loss,0.622301
Epoch 2 loss,0.467152
Epoch 3 loss,0.402911
Epoch 4 loss,0.358640
Epoch 5 loss,0.328530
Epoch 6 loss,0.301174
Epoch 7 loss,0.283533
Epoch 8 loss,0.265354
