Model_Name,Label,Accuracy,Precision,Recall,F1-Score
convnextv2_large,Overall,0.8148062229156494,0.8148062229156494,0.8148062229156494,0.8148062229156494
convnextv2_large,GLOTW,0.6997084617614746,0.7415035963058472,0.6997084617614746,0.7200000286102295
convnextv2_large,CR,0.912162184715271,0.8181818127632141,0.912162184715271,0.8626198172569275
convnextv2_large,IN,0.9339230060577393,0.9088607430458069,0.9339230060577393,0.9212214350700378
convnextv2_large,KU,0.2545454502105713,0.46666666865348816,0.2545454502105713,0.3294117748737335
convnextv2_large,B,1.0,0.9444444179534912,1.0,0.9714285731315613
convnextv2_large,S,0.9411764740943909,0.7680000066757202,0.9411764740943909,0.8458150029182434
convnextv2_large,M,0.4382716119289398,0.6960784196853638,0.4382716119289398,0.5378788113594055
convnextv2_large,Y,0.3076923191547394,0.3404255211353302,0.3076923191547394,0.3232323229312897
convnextv2_large,F,0.7952380776405334,0.8360450267791748,0.7952380776405334,0.8151311874389648
convnextv2_large,E,0.32275131344795227,0.8501741886138916,0.32275131344795227,0.46788111329078674
convnextv2_large,P,0.9537792205810547,0.805325984954834,0.9537792205810547,0.8732885122299194
convnextv2_large,-,0.8688945770263672,0.7536231875419617,0.8688945770263672,0.807164192199707


Confusion Matrix (cols = preds, rows = golds)
     ,GLOTW,   CR,   IN,   KU,    B,    S,    M,    Y,    F,    E,    P,    -,    +
GLOTW,  720,  134,    9,    3,    1,   48,   25,   23,   39,   12,    0,   15, 1029
   CR,   60,  810,    0,    0,    0,    4,    0,    7,    5,    0,    0,    2,  888
   IN,   15,    6, 1795,   12,    0,    0,    0,   18,    1,   11,   62,    2, 1922
   KU,   10,    5,   19,   14,    0,    0,    0,    5,    0,    0,    1,    1,   55
    B,    0,    0,    0,    0,   68,    0,    0,    0,    0,    0,    0,    0,   68
    S,    7,    2,    0,    0,    2,  192,    1,    0,    0,    0,    0,    0,  204
    M,   67,   14,    3,    0,    0,    2,   71,    0,    5,    0,    0,    0,  162
    Y,   26,   14,   15,    1,    0,    0,    2,   32,    3,    5,    1,    5,  104
    F,   28,    2,    1,    0,    0,    2,    0,    7,  668,    3,   13,  116,  840
    E,   20,    0,  128,    0,    0,    0,    1,    1,   35,  244,  310,   17,  756
    P,    1,    0,    5,    0,    0,    0,    1,    0,    3,   12, 1754,   63, 1839
    -,   17,    3,    0,    0,    1,    2,    1,    1,   40,    0,   37,  676,  778
    +,  971,  990, 1975,   30,   72,  250,  102,   94,  799,  287, 2178,  897, 8645


peak-vram-usage,GPU 0 (NVIDIA RTX A6000): 0.00MB peak; GPU 1 (NVIDIA RTX A6000): 0.00MB peak; GPU 2 (NVIDIA RTX A6000): 8074.06MB peak
training-time,8203.246927177534
validation-time,74.26573938131332


Epoch 1 loss,0.717786
Epoch 2 loss,0.555513
Epoch 3 loss,0.510864
Epoch 4 loss,0.485647
Epoch 5 loss,0.463059
Epoch 6 loss,0.450340
Epoch 7 loss,0.436452
Epoch 8 loss,0.427586
