Model_Name,Label,Accuracy,Precision,Recall,F1-Score
convnextv2_large,Overall,0.8135338425636292,0.8135338425636292,0.8135338425636292,0.8135338425636292
convnextv2_large,GLOTW,0.7113702893257141,0.7484662532806396,0.7113702893257141,0.7294469475746155
convnextv2_large,CR,0.9189189076423645,0.8176352977752686,0.9189189076423645,0.8653234243392944
convnextv2_large,IN,0.8995837569236755,0.9119198322296143,0.8995837569236755,0.9057098031044006
convnextv2_large,KU,0.3272727131843567,0.5,0.3272727131843567,0.3956044018268585
convnextv2_large,B,1.0,0.9714285731315613,1.0,0.9855072498321533
convnextv2_large,S,0.9117646813392639,0.8086956739425659,0.9117646813392639,0.8571428656578064
convnextv2_large,M,0.5432098507881165,0.5789473652839661,0.5432098507881165,0.5605095624923706
convnextv2_large,Y,0.2788461446762085,0.49152541160583496,0.2788461446762085,0.3558282256126404
convnextv2_large,F,0.8011904954910278,0.8454774022102356,0.8011904954910278,0.8227384090423584
convnextv2_large,E,0.3531745970249176,0.826625406742096,0.3531745970249176,0.49490270018577576
convnextv2_large,P,0.9526916742324829,0.7927601933479309,0.9526916742324829,0.8653988838195801
convnextv2_large,-,0.8676092624664307,0.7525083422660828,0.8676092624664307,0.8059701323509216


Confusion Matrix (cols = preds, rows = golds)
     ,GLOTW,   CR,   IN,   KU,    B,    S,    M,    Y,    F,    E,    P,    -,    +
GLOTW,  732,  123,    6,    1,    0,   39,   54,    8,   33,   11,    1,   21, 1029
   CR,   58,  816,    0,    0,    0,    2,    5,    2,    3,    0,    0,    2,  888
   IN,   15,    9, 1729,   16,    0,    0,    0,   12,    4,   23,  108,    6, 1922
   KU,    7,    6,   16,   18,    0,    0,    0,    6,    1,    0,    0,    1,   55
    B,    0,    0,    0,    0,   68,    0,    0,    0,    0,    0,    0,    0,   68
    S,   13,    2,    0,    0,    2,  186,    0,    0,    1,    0,    0,    0,  204
    M,   55,   15,    1,    0,    0,    0,   88,    0,    1,    0,    0,    2,  162
    Y,   39,   16,    8,    1,    0,    0,    1,   29,    3,    2,    0,    5,  104
    F,   28,    6,    1,    0,    0,    1,    1,    0,  673,    3,   10,  117,  840
    E,   23,    0,  131,    0,    0,    0,    1,    1,   22,  267,  304,    7,  756
    P,    0,    2,    4,    0,    0,    0,    0,    0,    3,   17, 1752,   61, 1839
    -,    8,    3,    0,    0,    0,    2,    2,    1,   52,    0,   35,  675,  778
    +,  978,  998, 1896,   36,   70,  230,  152,   59,  796,  323, 2210,  897, 8645


peak-vram-usage,GPU 0 (NVIDIA RTX A6000): 0.00MB peak; GPU 1 (NVIDIA RTX A6000): 0.00MB peak; GPU 2 (NVIDIA RTX A6000): 8095.03MB peak; GPU 3 (NVIDIA RTX A6000): 0.00MB peak
training-time,12767.538573943079
validation-time,73.41067260503769


Epoch 1 loss,0.977306
Epoch 2 loss,0.644693
Epoch 3 loss,0.576476
Epoch 4 loss,0.528108
Epoch 5 loss,0.493152
Epoch 6 loss,0.463996
Epoch 7 loss,0.438380
Epoch 8 loss,0.417196
