Model_Name,Label,Accuracy,Precision,Recall,F1-Score
vgg16,slate,0.9872123003005981,0.625,0.4166666567325592,0.5
vgg16,chyron,0.937979519367218,0.7848101258277893,0.43661972880363464,0.5610859990119934
vgg16,credit,0.9462915658950806,0.2448979616165161,0.20338982343673706,0.2222222238779068
vgg16,none,0.8983376026153564,0.9154929518699646,0.9708737730979919,0.9423704147338867
